caseId,ACBarrett,AFortas,AMKennedy,AScalia,BMKavanaugh,BRWhite,CEWhittaker,CThomas,DHSouter,EKagan,EWarren,FFrankfurter,FMVinson,FMurphy,HABlackmun,HHBurton,HLBlack,JGRoberts,JHarlan2,JPStevens,KBJackson,LFPowell,NMGorsuch,PStewart,RBGinsburg,RHJackson,SAAlito,SDOConnor,SFReed,SGBreyer,SMinton,SSotomayor,TCClark,TMarshall,WBRutledge,WEBurger,WHRehnquist,WJBrennan,WODouglas
2000-066,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2000-067,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0,,
2000-068,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,1.0,,
2000-069,,,0.0,1.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,1.0,,,0.0,,1.0,,,,,,,0.0,,
2000-070,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,1.0,,,,,0.0,,,0.0,,0.0,,,,,,,1.0,,
2000-071,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,1.0,,,,,,,1.0,,
2000-074,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2000-076,,,1.0,0.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2000-077,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2000-078,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,0.0,,
2000-079,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,0.0,,
2000-081,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,0.0,,,0.0,,0.0,,,,,,,1.0,,
2000-082,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2000-083,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,0.0,,,,,,,1.0,,
2000-084,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2000-085,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2000-086,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2000-087,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2001-004,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2001-005,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,1.0,,
2001-008,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,1.0,,,0.0,,0.0,,,,,,,1.0,,
2001-010,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2001-012,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2001-013,,,1.0,0.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2001-014,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2001-016,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2001-018,,,1.0,1.0,,,,0.0,0.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,1.0,,
2001-019,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
